id,comprador_id,nome_comprador,email_comprador,cpf_comprador,telefone_comprador,pedido_id,produto_id,nome_produto,categoria,preco_unitario,quantidade,total,metodo_pagamento,status_pedido,data_pedido,enderecos_entrega,transportadora,codigo_rastreamento,status_envio,vendedor_id,nome_vendedor,cnpj_vendedor,telefone_vendedor,endereco_vendedor,data_entrega,avaliacao,comentario
1,43,Rodrigo Machado,rodrigo@email.com,524.933.269-88,(11) 97910-1112,5828,292,Banco de Supino,Esportes,800.0,5,4000.0,Boleto,Cancelado,2025-01-18 13:38:25,"Rua dos Ipês, 890 - Brasília, DF",Transportadora Local,,Cancelado,20,Digital World,59.183.746/0001-28,(32) 92657-6953,"Rua Digital, 2000 - São Luís, MA",,,
2,43,Rodrigo Machado,rodrigo@email.com,524.933.269-88,(11) 97910-1112,5828,230,Hub Casa Inteligente,Casa Inteligente,500.0,1,500.0,Pix,Cancelado,2025-01-18 13:38:25,"Rua dos Ipês, 890 - Brasília, DF",Transportadora Local,,Cancelado,20,Digital World,59.183.746/0001-28,(32) 92657-6953,"Rua Digital, 2000 - São Luís, MA",,,
3,43,Rodrigo Machado,rodrigo@email.com,524.933.269-88,(11) 97910-1112,5828,142,Jogo Digital,Games,299.9,1,299.9,Boleto,Cancelado,2025-01-18 13:38:25,"Rua dos Ipês, 890 - Brasília, DF",Transportadora Local,,Cancelado,20,Digital World,59.183.746/0001-28,(32) 92657-6953,"Rua Digital, 2000 - São Luís, MA",,,
4,43,Rodrigo Machado,rodrigo@email.com,524.933.269-88,(11) 97910-1112,5828,239,Comedouro Automático,Casa Inteligente,300.0,4,1200.0,Pix,Cancelado,2025-01-18 13:38:25,"Rua dos Ipês, 890 - Brasília, DF",Transportadora Local,,Cancelado,20,Digital World,59.183.746/0001-28,(32) 92657-6953,"Rua Digital, 2000 - São Luís, MA",,,
5,43,Rodrigo Machado,rodrigo@email.com,524.933.269-88,(11) 97910-1112,5828,267,Secador de Cabelo,Beleza,200.0,1,200.0,Cartão de Crédito,Cancelado,2025-01-18 13:38:25,"Rua dos Ipês, 890 - Brasília, DF",Transportadora Local,,Cancelado,20,Digital World,59.183.746/0001-28,(32) 92657-6953,"Rua Digital, 2000 - São Luís, MA",,,
6,62,Kevin Rodrigues,kevin@email.com,645.404.371-21,(11) 98011-9304,1219,172,Grill Elétrico,Eletrodomésticos,250.0,5,1250.0,Cartão de Crédito,Entregue,2024-12-26 13:38:25,"Av. Independência, 357 - Niterói, RJ",FedEx,TRK12194139,Entregue,2,Gadget World,65.362.272/0001-33,(54) 95918-9988,"Av. dos Acessórios, 200 - Rio de Janeiro, RJ",2024-12-30,1,Decepcionado com a compra.
7,62,Kevin Rodrigues,kevin@email.com,645.404.371-21,(11) 98011-9304,1219,225,Kit Segurança,Segurança,1500.0,5,7500.0,Cartão de Crédito,Entregue,2024-12-26 13:38:25,"Av. Independência, 357 - Niterói, RJ",FedEx,TRK12194139,Entregue,2,Gadget World,65.362.272/0001-33,(54) 95918-9988,"Av. dos Acessórios, 200 - Rio de Janeiro, RJ",2024-12-30,3,"Produto regular, atendimento básico."
8,62,Kevin Rodrigues,kevin@email.com,645.404.371-21,(11) 98011-9304,1219,166,Aquecedor,Eletrodomésticos,300.0,4,1200.0,Pix,Entregue,2024-12-26 13:38:25,"Av. Independência, 357 - Niterói, RJ",FedEx,TRK12194139,Entregue,2,Gadget World,65.362.272/0001-33,(54) 95918-9988,"Av. dos Acessórios, 200 - Rio de Janeiro, RJ",2024-12-30,4,Excelente atendimento e produto.
9,79,Beatriz Castro,beatriz@email.com,382.305.470-82,(11) 92151-7106,8120,101,Smartphone,Eletrônicos,1500.0,4,6000.0,Cartão de Crédito,Em Processamento,2025-02-20 13:38:25,"Rua das Magnólias, 852 - Pelotas, RS",FedEx,,Aguardando Processamento,13,Pet Store Plus,52.819.463/0001-91,(63) 96563-7064,"Alameda dos Pets, 1300 - Vitória, ES",,,
10,79,Beatriz Castro,beatriz@email.com,382.305.470-82,(11) 92151-7106,8120,289,Halter,Esportes,100.0,3,300.0,Cartão de Crédito,Em Processamento,2025-02-20 13:38:25,"Rua das Magnólias, 852 - Pelotas, RS",FedEx,,Aguardando Processamento,13,Pet Store Plus,52.819.463/0001-91,(63) 96563-7064,"Alameda dos Pets, 1300 - Vitória, ES",,,
